in_users?,in_wpm?,id_user,font,id_passage,font fam,score,pass fam,pass int
1,2,299,times,20,3,1,3,4
1,2,301,times,22,1,1,4,3
1,2,301,times,27,1,1,1,3
0,2,302,times,24,2,0.5,4,3
0,0,302,times,28,2,0.5,,
1,0,303,times,22,3,1,3,3
1,1,303,times,23,3,0.5,1,1
0,2,306,times,24,2,0.5,1,1
0,0,306,times,26,2,0.5,1,1
1,0,307,times,20,3,1,2,5
1,2,307,times,22,3,1,1,3
1,2,308,times,21,2,1,2,2
1,2,308,times,26,2,1,1,2
1,2,309,times,20,3,1,3,3
1,2,309,times,24,3,1,2,2
1,2,311,times,22,3,1,2,2
1,2,311,times,23,3,1,1,3
1,2,312,times,20,2,1,3,3
1,2,312,times,21,2,0.5,1,5
1,2,314,times,23,3,1,1,2
1,2,314,times,24,3,0.5,1,2
1,2,315,times,26,1,1,1,2
1,2,316,times,20,3,0.5,3,2
1,2,316,times,24,3,1,1,2
1,2,316,times,26,3,1,1,1
1,2,317,times,19,3,1,3,4
1,2,317,times,28,3,1,3,4
1,2,318,times,23,3,1,1,3
1,1,318,times,26,3,1,1,4
1,0,319,times,21,3,0.5,1,3
1,2,319,times,26,3,1,1,3
1,2,320,times,26,3,1,1,4
1,2,320,times,27,3,1,1,3
1,2,321,times,20,2,1,1,4
1,2,321,times,21,2,1,1,3
1,2,322,times,20,1,1,1,4
1,1,322,times,25,1,0,1,2
1,2,323,times,19,2,0.5,3,3
1,2,323,times,25,2,1,1,4
1,2,325,times,19,3,1,2,4
1,2,325,times,20,3,1,2,4
1,2,325,times,22,3,1,3,4
1,2,325,times,28,3,1,1,3
1,2,327,times,19,3,1,2,5
1,1,327,times,26,3,1,1,2
1,2,328,times,21,1,1,2,3
1,2,328,times,27,1,0.5,1,2
0,2,329,times,19,3,1,2,4
0,0,329,times,20,3,1,2,5
0,0,329,times,22,3,1,2,4
0,0,329,times,28,3,1,1,3
1,0,331,times,19,2,1,1,3
1,2,331,times,21,2,0.5,1,3
0,2,333,times,23,2,0.5,2,4
1,0,334,times,25,2,0.5,1,1
1,0,334,times,27,2,1,1,1
1,1,337,times,21,3,1,2,4
1,2,337,times,27,3,1,1,3
1,2,339,times,21,3,1,2,2
1,2,339,times,24,3,1,2,1
1,2,340,times,26,3,0.5,1,2
1,2,340,times,28,3,1,1,4
1,2,342,times,22,2,1,2,3
1,2,342,times,23,2,1,1,3
1,2,344,times,21,3,1,3,3
1,2,345,times,20,2,0.5,2,2
1,2,345,times,23,2,1,1,1
1,1,345,times,27,2,1,1,2
1,1,346,times,24,3,1,1,1
1,2,346,times,27,3,1,1,2
1,2,347,times,23,2,1,5,5
1,1,347,times,25,2,1,4,3
1,1,347,times,26,2,1,5,5
1,2,348,times,24,3,1,3,2
1,2,350,times,22,3,1,5,4
1,1,350,times,25,3,0,5,4
1,1,352,times,23,3,1,1,2
1,2,352,times,26,3,1,1,4
1,2,353,times,19,2,1,1,1
1,2,353,times,23,2,1,1,1
1,2,354,times,21,2,0.5,2,3
1,2,354,times,28,2,1,1,1
1,2,355,times,22,3,0.5,4,4
1,2,355,times,26,3,1,4,3
0,1,356,times,20,3,1,3,2
0,0,356,times,22,3,1,2,2
0,0,357,times,26,3,1,2,1
0,0,357,times,28,3,1,1,1
1,0,358,times,20,3,1,3,3
1,1,358,times,26,3,1,1,1
1,2,359,times,21,3,1,1,2
1,2,359,times,23,3,1,1,3
0,2,362,times,22,1,1,1,4
0,0,362,times,28,1,1,1,4
0,0,363,times,21,2,0,1,1
0,0,363,times,23,2,0,1,1
1,0,364,times,25,2,1,1,3
1,2,364,times,27,2,1,1,2
0,2,367,times,25,3,1,3,3
0,0,367,times,26,3,1,3,3
1,0,368,times,19,2,1,3,2
1,1,368,times,22,2,1,3,3
1,2,369,times,23,3,1,1,3
1,2,369,times,24,3,1,1,2
1,2,371,times,21,2,1,3,3
1,2,371,times,22,2,1,4,3
1,1,372,times,25,2,1,1,3
1,2,372,times,26,2,1,1,2
1,2,373,times,20,3,0.5,1,3
1,2,373,times,26,3,1,1,2
1,2,374,times,21,3,0.5,2,3
1,2,374,times,23,3,1,1,2
1,2,374,times,24,3,0.5,1,4
1,2,374,times,28,3,1,1,2
1,2,375,times,24,3,1,1,3
1,2,375,times,27,3,1,1,3
0,2,377,times,28,,0,1,2
1,0,378,times,23,3,0.5,4,4
1,2,378,times,25,3,1,3,3
1,2,380,times,20,3,1,4,4
1,2,380,times,22,3,1,5,4
0,2,382,times,27,2,1,3,3
0,0,382,times,28,2,1,3,3
1,0,385,times,20,2,1,3,3
1,2,385,times,24,2,0.5,1,1
1,1,386,times,21,2,1,1,2
1,1,386,times,26,2,1,1,1
1,2,387,times,20,3,1,2,3
1,2,387,times,28,3,1,1,3
1,2,388,times,21,2,1,2,3
1,2,388,times,23,2,0.5,1,2
0,2,389,times,25,3,1,5,5
0,0,390,times,19,3,0.5,2,1
0,0,390,times,21,3,1,2,2
1,0,392,times,25,3,0.5,1,3
1,1,392,times,26,3,1,1,3
1,2,393,times,23,3,1,1,2
